x,y,label,affiliation,num_tweets
36.43508105,-31.42172777,jjhorgan,BC NDP,3536
109.0745707,84.47551736,joan_isaacs,BC Liberal Party,506
-93.52642438,-16.35541904,jodim4bcgreens,BC Green Party,313
-66.4641275,-70.94585008,joeydoyleypp,Your Political Party of BC (YPP),130
-116.1128297,30.82214224,John_Yap,BC Liberal Party,15609
-28.03659024,66.29745296,JohnMartin4BC,BC Liberal Party,5773
-81.5423592,3.959041924,joninacampbell,BC Green Party,3817
-107.7147193,116.3112806,jonrempel2,Libertarian,35
95.13165918,-192.9257841,jordansturdy,BC Liberal Party,656
-52.59230947,-90.69273209,josh_steffler,Libertarian,203
198.5070056,-232.0239407,joshasjohnson,BC Green Party,118
-11.93889826,50.27193195,jthornthwaite,BC Liberal Party,16216
184.4819452,7.66824254,kahlonrav,BC NDP,8979
8.382259726,-25.0172869,karenfbill,BC Liberal Party,946
2.56024835,61.21066111,karenxbwang,BC Liberal Party,102
83.53213481,58.67845479,katrinacburnaby,BC NDP,2833
87.09218155,-16.16910188,KatrineConroy,BC NDP,1652
22.31395416,-36.3681216,kayhale17,BC Conservative Party,1
-92.80583565,-42.81677875,keliwestgate,BC Green Party,7939
53.46374027,50.20532099,kelly_bc_ca,BC NDP,1301
-95.8681065,-81.71613033,kim4mla,BC Green Party,612
134.006898,-59.3192662,lanapopham,BC NDP,5063
47.47149897,166.4791254,larrycolero,BC Green Party,777
56.52153218,-15.13654995,leondaviddunn1,Independent,19
-13.16769172,-42.04474269,libertykkomar,Libertarian,87
22.61499237,62.82890233,lindalarsonbc,BC Liberal Party,315
36.93349458,74.98053158,lindareidforbc,BC Liberal Party,143
-16.65703471,58.78269973,LindaReimer4BC,BC Liberal Party,2521
27.42532485,-63.88105684,lisabeare,BC NDP,461
11.36758775,23.83987332,lisabeare,BC Green Party,461
45.96491902,-71.2670034,LoriIanni,BC NDP,805
10.41385145,51.20372649,lorraineabrett,BC Liberal Party,567
66.44091301,1.302565721,mableelmore,BC NDP,3413
132.0003984,-34.92294839,madilalonde,BC NDP,257
-131.4980629,9.716758034,mapleridgealex,BC Green Party,13237
-39.91515376,68.67680583,MarcDalton,BC Liberal Party,4048
-69.69575401,-85.92507597,markvneufeld,BC Green Party,502
23.80441636,-92.07785123,martayformla,Independent,179
156.6532424,-100.5754713,marvinhunt4bc,BC Liberal Party,1492
-48.59884751,11.82535653,maryforbc,BC Liberal Party,6387
-38.21109062,87.40634476,melaniejmark,BC NDP,1786
97.15531962,-80.97157138,michaelleebc,BC Liberal Party,80
11.27070129,107.9305159,michellelivaja,BC NDP,400
-0.679414774,183.4197089,michellemungall,BC NDP,5106
-9.247422402,35.84580835,Mike_A_Bernier,BC Liberal Party,7337
-54.86382938,42.37409417,Mike_de_Jong,BC Liberal Party,1665
146.3241997,-74.78109836,mikefarnworthbc,BC NDP,3006
-53.68835501,-59.98017478,MikeMorrisforBC,BC Liberal Party,982
83.12629617,1.204868719,mitzideanbc,BC NDP,1010
-15.09553304,72.05236426,MLADanAshton,BC Liberal Party,173
49.69131686,66.67889245,morganeogerndp,BC NDP,16301
-4.208536741,-84.8451882,mrnicholaswong,Independent,574
-18.62832867,-159.5772809,nancybepple,BC NDP,19365
29.73821034,51.6556954,naomiyamamoto,BC Liberal Party,18686
-2.897323405,-23.37104831,natalie4pgvale,BC NDP,29
75.50392277,37.37717765,NicholasSimons,BC NDP,4963
-82.13458601,-90.10384516,nicspurling,BC Green Party,2511
18.63727159,43.31905093,nigelgelliott,BC Liberal Party,166
273.6045448,232.3674643,niovi_ndp,BC NDP,373
-4.795767446,-7.528356243,NormLetnick,BC Liberal Party,4922
-68.0049131,77.75788177,parisgaudet,BC Liberal Party,534
7.966751975,-107.565162,patti_macahonic,BC NDP,1419
-123.607759,-4.08608857,pclceo,Independent,165
34.75364994,-48.01134224,PeterMilobar,BC Liberal Party,1394
-57.29651723,-21.1953841,petertamgogreen,BC Green Party,375
-26.53658586,-8.932252003,pnnjenga,Independent,188
-20.13955882,-89.80100106,PreetRaiBC,BC NDP,67
57.13978874,-80.20599052,puneetsandhar,BC Liberal Party,291
74.48819476,-57.76645214,racha7426,BC NDP,16
-81.15263375,51.85322131,rajchouhan,BC NDP,2069
-38.18272844,48.7208051,ralph_sultan,BC Liberal Party,2034
-18.75515209,-28.80265293,randalmacnair,BC NDP,293
56.39784399,39.0899097,rebeccasmithndp,BC NDP,1934
39.41745568,-96.17682359,rexbrocki,Libertarian,64
94.39039715,46.89138902,Richard_T_Lee,BC Liberal Party,5169
-83.2448626,-70.45094978,richardejaques,BC Green Party,1020
-41.01199427,-37.40599507,rick_mcgowan,BC Green Party,5113
53.07176506,97.11805877,rickglumacbc,BC NDP,879
72.43005117,12.72330209,Rob_Fleming,BC NDP,2049
-271.5191151,3.584191315,ronnaraeleonard,BC NDP,389
72.81916436,-42.83872654,russelmehdi,BC NDP,40
81.95152845,-155.3509717,sam_sullivan,BC Liberal Party,807
-73.63240892,20.98778195,samsonboyer1,BC Green Party,41
42.80702407,27.83208028,SChandraHerbert,BC NDP,10622
-39.24082424,24.91013307,Scott4Delta,BC Liberal Party,1432
