x,y,label,affiliation,num_tweets
-0.378308323,-0.155949388,jjhorgan,BC NDP,3200
-0.141862577,0.212094567,joan_isaacs,BC Liberal Party,3213
0.24417347,-0.335640656,jodim4bcgreens,BC Green Party,450
0.108293886,-0.223512297,joeydoyleypp,Your Political Party of BC (YPP),259
-0.059872655,0.313952236,John_Yap,BC Liberal Party,124
-0.081717202,0.295993499,JohnMartin4BC,BC Liberal Party,3133
0.187280745,-0.378490756,joninacampbell,BC Green Party,3149
0.032619462,-0.004357588,jonrempel2,Libertarian,3196
-0.036156385,0.453503727,jordansturdy,BC Liberal Party,33
0.125649666,-0.136159654,josh_steffler,Libertarian,639
0.258347088,-0.271039341,joshasjohnson,BC Green Party,202
-0.140453425,0.348756347,jthornthwaite,BC Liberal Party,111
-0.177379105,-0.28628372,kahlonrav,BC NDP,3065
0.097186212,0.393426181,karenfbill,BC Liberal Party,3190
-0.077392425,0.084680134,karenxbwang,BC Liberal Party,917
-0.218168664,-0.138243849,katrinacburnaby,BC NDP,87
-0.308898455,-0.187736369,KatrineConroy,BC NDP,2738
0.056032506,0.005297602,kayhale17,BC Conservative Party,1638
0.335001083,-0.325463425,keliwestgate,BC Green Party,1
-0.203639907,-0.300947932,kelly_bc_ca,BC NDP,3190
0.316666556,-0.296538055,kim4mla,BC Green Party,1250
-0.238393834,-0.100266261,lanapopham,BC NDP,606
0.359939957,-0.166160775,larrycolero,BC Green Party,22329
0.034220655,0.00264543,leondaviddunn1,Independent,760
0.121163092,-0.090617253,libertykkomar,Libertarian,17
-0.155505353,0.257219764,lindalarsonbc,BC Liberal Party,87
-0.115407651,0.131466268,lindareidforbc,BC Liberal Party,213
-0.196884282,0.359886914,LindaReimer4BC,BC Liberal Party,106
-0.198675713,-0.068490826,lisabeare,BC NDP,2500
-0.156225734,-0.106793558,lisabeare,BC Green Party,908
-0.103609203,-0.003869842,LoriIanni,BC NDP,792
0.141761936,0.240546824,lorraineabrett,BC Liberal Party,561
-0.334291445,-0.238715132,mableelmore,BC NDP,3185
-0.240413847,-0.241020791,madilalonde,BC NDP,240
0.258565353,0.056387021,mapleridgealex,BC Green Party,3201
-0.167695408,0.313781182,MarcDalton,BC Liberal Party,3203
0.263299414,-0.260619603,markvneufeld,BC Green Party,487
0.074506666,-0.015817138,martayformla,Independent,167
-0.170272239,0.450463643,marvinhunt4bc,BC Liberal Party,1484
-0.112975012,0.259438112,maryforbc,BC Liberal Party,3151
-0.258011974,-0.206108071,melaniejmark,BC NDP,1747
-0.118618745,0.167781257,michaelleebc,BC Liberal Party,73
-0.087991079,-0.167335855,michellelivaja,BC NDP,380
-0.272758363,-0.375435102,michellemungall,BC NDP,3200
-0.248301653,0.25921824,Mike_A_Bernier,BC Liberal Party,3160
-0.091611828,0.429012436,Mike_de_Jong,BC Liberal Party,1656
-0.264900696,-0.143199433,mikefarnworthbc,BC NDP,2957
-0.043580923,0.411906916,MikeMorrisforBC,BC Liberal Party,980
-0.313433059,-0.07140484,mitzideanbc,BC NDP,956
0.021063211,0.052265936,MLADanAshton,BC Liberal Party,173
-0.061886724,-0.419488901,morganeogerndp,BC NDP,3175
0.099850321,-0.106206605,mrnicholaswong,Independent,563
-0.229923015,-0.17995564,nancybepple,BC NDP,3138
-0.071558476,0.388356054,naomiyamamoto,BC Liberal Party,3170
-0.121575729,-0.135411561,natalie4pgvale,BC NDP,28
-0.168410209,-0.264550866,NicholasSimons,BC NDP,3236
0.217902956,-0.334029794,nicspurling,BC Green Party,2248
-0.036897184,0.166392426,nigelgelliott,BC Liberal Party,131
-0.038997107,-0.304544371,niovi_ndp,BC NDP,373
-0.089882403,0.342755387,NormLetnick,BC Liberal Party,3184
0.067272939,0.284608918,parisgaudet,BC Liberal Party,519
0.011861257,-0.204152111,patti_macahonic,BC NDP,1402
0.181626569,0.090705262,pclceo,Independent,156
0.067568514,0.302753785,PeterMilobar,BC Liberal Party,1338
0.303686466,-0.193894736,petertamgogreen,BC Green Party,373
0.205888996,0.113703183,pnnjenga,Independent,186
-0.041647384,0.016038932,PreetRaiBC,BC NDP,63
-0.112543061,0.207277627,puneetsandhar,BC Liberal Party,285
-0.149359625,-0.04078804,racha7426,BC NDP,16
-0.229482348,-0.166708735,rajchouhan,BC NDP,2049
0.028380032,0.412511273,ralph_sultan,BC Liberal Party,2033
-0.053055289,0.033521263,randalmacnair,BC NDP,288
-0.152750795,-0.335606587,rebeccasmithndp,BC NDP,1906
0.071686676,-0.042201467,rexbrocki,Libertarian,44
-0.10991003,0.289802941,Richard_T_Lee,BC Liberal Party,3209
0.225409472,-0.067057501,richardejaques,BC Green Party,1016
0.234121756,-0.295083919,rick_mcgowan,BC Green Party,3220
0.09345837,0.069821531,rickglumacbc,BC NDP,847
-0.33662141,-0.148717473,Rob_Fleming,BC NDP,2043
-0.108433342,-0.069636608,ronnaraeleonard,BC NDP,380
-0.152762762,0.004644892,russelmehdi,BC NDP,38
0.095906736,0.352508547,sam_sullivan,BC Liberal Party,782
0.071794782,-0.075119376,samsonboyer1,BC Green Party,28
-0.106348132,-0.276907849,SChandraHerbert,BC NDP,3185
-0.116016928,0.387078492,Scott4Delta,BC Liberal Party,1418
-0.09851812,-0.143012489,scottfraserndp,BC NDP,12
-0.025522215,0.031642075,scotty_quesnel,BC NDP,1803
-0.076352286,-0.358247257,selinarobinson,BC NDP,3209
-0.282684854,-0.179987177,ShaneLSimpson,BC NDP,1811
-0.121253358,-0.087404506,shelleycook4ndp,BC NDP,83
-0.085273999,0.398950032,shirleybond,BC Liberal Party,3193
-0.216250864,-0.235524662,silveirandp,BC NDP,271
0.350610696,-0.264346089,simon_rear,BC Green Party,719
0.343482532,-0.313664195,soniafurstenau,BC Green Party,3173
-0.046669807,0.195105309,srobertsbc,BC Liberal Party,624
0.038195316,0.214959966,staceypierceybc,BC Liberal Party,180
-0.169634566,0.37835561,Stephanie4BC,BC Liberal Party,3139
-0.152388295,0.321062336,Steve4Kelowna,BC Liberal Party,2542
0.126852053,0.237150454,stevedarling,BC Liberal Party,3173
-0.055671659,0.306771035,stevekimbc,BC Liberal Party,2312
-0.062138172,0.401760298,Stilwell4BC,BC Liberal Party,3146
0.414761036,-0.152095183,suemoen,BC Green Party,865
-0.094110212,-0.08678823,suepowellndp,BC NDP,130
-0.029600931,0.078013063,SusanChambersBC,BC Liberal Party,51
-0.186841138,0.384164937,SuzanneAnton,BC Liberal Party,3202
-0.147156674,-0.134805296,sylvialindgren,BC NDP,119
0.031557943,-0.01929809,taftgerry,BC NDP,220
-0.123644827,-0.102113767,tariksayeed,BC NDP,167
-0.17068263,0.351450189,tegart_jackie,BC Liberal Party,2707
-0.188341991,0.354920562,Teresa_Wat,BC Liberal Party,2979
-0.112750091,0.341532043,toddstonebc,BC Liberal Party,3155
0.020975856,0.087342875,TomShypitka,BC Liberal Party,10
-0.126820917,0.295972421,tracyrediesbc,BC Liberal Party,270
-0.068639872,0.189870234,trangnguyenbc,BC Liberal Party,138
0.321696542,-0.113790895,twiggjohn,BC First,3242
0.272356329,0.151211842,vanisledevelop,Independent,3193
0.298010888,0.067305068,vikramjsbajwa,,2473
-0.115179819,-0.115570827,votegeorgechow,BC NDP,26
0.280380551,-0.177775926,votekalenharris,BC Green Party,1638
0.208089369,-0.35758104,votemichael,BC Green Party,857
0.020817712,-0.035417789,WayneFroese,BC Green Party,16
-0.158542967,0.473686958,Wilkinson4BC,BC Liberal Party,1278
